region,year,date,actual,model,forecast
53,2016,2016-07-01,15.9125,FeedForwardNN,16.179217145368927
53,2016,2016-07-02,14.866666666666667,FeedForwardNN,15.997380483553433
53,2016,2016-07-03,15.8875,FeedForwardNN,15.83637652642182
53,2016,2016-07-04,16.587500000000002,FeedForwardNN,16.068235971587768
53,2016,2016-07-05,16.316666666666666,FeedForwardNN,16.20459709590984
53,2016,2016-07-06,14.6625,FeedForwardNN,16.232860660121943
53,2016,2016-07-07,16.954166666666666,FeedForwardNN,16.232982873187613
53,2016,2016-07-08,16.916666666666668,FeedForwardNN,16.322892609280586
53,2016,2016-07-09,18.841666666666665,FeedForwardNN,15.887617285689448
53,2016,2016-07-10,18.025,FeedForwardNN,15.841712813751602
53,2016,2016-07-11,17.254166666666666,FeedForwardNN,16.206330158490253
53,2016,2016-07-12,15.018181818181818,FeedForwardNN,16.332600544514705
53,2016,2016-07-13,14.6,FeedForwardNN,16.476832639059708
53,2016,2016-07-14,15.120833333333335,FeedForwardNN,16.714269676833172
53,2016,2016-07-15,15.166666666666666,FeedForwardNN,16.394958833940223
53,2016,2016-07-16,18.3125,FeedForwardNN,16.44342349099427
53,2016,2016-07-17,20.491666666666667,FeedForwardNN,16.539655366058984
53,2016,2016-07-18,24.0125,FeedForwardNN,16.09438850337569
53,2016,2016-07-19,25.808333333333337,FeedForwardNN,15.903994382904129
53,2016,2016-07-20,20.32272727272727,FeedForwardNN,15.97751940105252
53,2016,2016-07-21,17.908333333333335,FeedForwardNN,16.20355620027945
53,2016,2016-07-22,18.954166666666666,FeedForwardNN,16.245929989560587
53,2016,2016-07-23,18.395833333333332,FeedForwardNN,16.379052233659706
53,2016,2016-07-24,18.370833333333337,FeedForwardNN,16.485457105658714
53,2016,2016-07-25,18.491666666666664,FeedForwardNN,16.115795167426647
53,2016,2016-07-26,16.88181818181818,FeedForwardNN,15.738305514829376
53,2016,2016-07-27,17.791666666666668,FeedForwardNN,15.549156981879005
53,2016,2016-07-28,18.191666666666663,FeedForwardNN,15.541008181069257
53,2016,2016-07-29,17.918181818181818,FeedForwardNN,15.596538953780449
53,2016,2016-07-30,17.900000000000002,FeedForwardNN,15.4240876848651
53,2016,2016-07-31,17.6875,FeedForwardNN,15.629399566631495
